station,datetime,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,season,PM25_Category,year
Aotizhongxin,2013-03-01,7.125,10.75,11.708333333333334,22.583333333333332,429.1666666666667,63.875,1.3916666666666666,1026.875,-18.745833333333334,0.0,3.2541666666666664,Spring,Good,2013
Aotizhongxin,2013-03-02,30.75,42.083333333333336,36.625,66.66666666666667,824.9166666666666,29.75,0.6166666666666667,1026.8500000000001,-15.9375,0.0,1.4791666666666667,Spring,Moderate,2013
Aotizhongxin,2013-03-03,76.91666666666667,120.54166666666667,61.291666666666664,81.0,1620.625,19.125,5.566666666666666,1014.6083333333332,-12.316666666666668,0.0,1.6583333333333332,Spring,Unhealthy,2013
Aotizhongxin,2013-03-04,22.708333333333332,44.583333333333336,22.166666666666668,46.166666666666664,608.3333333333334,53.75,9.9625,1017.65,-11.683333333333332,0.0,2.4041666666666663,Spring,Moderate,2013
Aotizhongxin,2013-03-05,148.875,183.79166666666666,93.875,132.83333333333334,2357.9583333333335,68.45833333333333,6.291666666666667,1010.9,-7.5249999999999995,0.0,1.1291666666666667,Spring,Unhealthy,2013
Aotizhongxin,2013-03-06,223.25,265.1666666666667,116.2367,142.05938333333333,3083.0,19.75,7.183333333333334,1007.4833333333332,-4.216666666666667,0.0,1.4833333333333334,Spring,Very Unhealthy,2013
Aotizhongxin,2013-03-07,263.375,316.0833333333333,97.54166666666667,147.75,3632.875,38.833333333333336,9.2875,1002.3208333333333,-2.0333333333333337,0.0,1.5583333333333333,Spring,Hazardous,2013
Aotizhongxin,2013-03-08,221.45833333333334,297.9583333333333,66.78956666666666,121.17612083333334,2885.0416666666665,79.33333333333333,9.612499999999999,999.475,-1.1500000000000001,0.0,1.6375,Spring,Very Unhealthy,2013
Aotizhongxin,2013-03-09,62.041666666666664,227.08333333333334,33.333333333333336,45.0,1178.9583333333333,73.91666666666667,6.983333333333333,1004.3916666666668,-10.1625,0.0,3.391666666666667,Spring,Unhealthy,2013
Aotizhongxin,2013-03-10,34.291666666666664,68.91666666666667,22.916666666666668,49.666666666666664,708.3333333333334,82.66666666666667,5.2625,1020.4916666666667,-12.85,0.0,2.441666666666667,Spring,Moderate,2013
Aotizhongxin,2013-03-11,123.79166666666667,178.29166666666666,86.875,90.66666666666667,1670.75,75.25,5.5375000000000005,1013.6625,-6.620833333333334,0.0,1.5666666666666667,Spring,Unhealthy,2013
Aotizhongxin,2013-03-12,122.79166666666667,117.16666666666667,27.5,72.875,1633.25,36.583333333333336,4.6000000000000005,1008.8083333333334,1.3499999999999999,2.9,1.0833333333333333,Spring,Unhealthy,2013
Aotizhongxin,2013-03-13,16.041666666666668,19.333333333333332,16.25,36.083333333333336,504.1666666666667,71.875,4.929166666666666,1022.475,-10.049999999999999,0.0,2.3291666666666666,Spring,Moderate,2013
Aotizhongxin,2013-03-14,95.16666666666667,107.29166666666667,51.916666666666664,70.375,1337.2916666666667,68.91666666666667,3.8166666666666664,1021.4,-3.5875,0.0,1.9541666666666666,Spring,Unhealthy,2013
Aotizhongxin,2013-03-15,212.29166666666666,250.625,75.58333333333333,99.41666666666667,2116.5,44.208333333333336,6.3999999999999995,1014.5,-1.0666666666666667,0.0,1.4208333333333334,Spring,Very Unhealthy,2013
Aotizhongxin,2013-03-16,244.875,257.9166666666667,70.125,90.375,2183.0,66.66666666666667,9.529166666666667,1016.8541666666666,0.8833333333333333,0.0,1.6958333333333335,Spring,Very Unhealthy,2013
Aotizhongxin,2013-03-17,284.5416666666667,309.6666666666667,73.66666666666667,113.875,2558.0,96.54166666666667,10.008333333333333,1001.9375,3.1458333333333335,0.0,1.1458333333333333,Spring,Hazardous,2013
Aotizhongxin,2013-03-18,70.66666666666667,118.04166666666667,19.625,46.166666666666664,866.5833333333334,89.04166666666667,8.383333333333333,1001.2208333333333,-9.404166666666667,0.1,3.6374999999999997,Spring,Unhealthy,2013
Aotizhongxin,2013-03-19,41.0,49.125,16.5,49.166666666666664,750.0,20.791666666666668,2.066666666666667,1008.8916666666668,-1.3291666666666666,9.0,1.9166666666666667,Spring,Unhealthy (Sensitive),2013
Aotizhongxin,2013-03-20,48.916666666666664,47.791666666666664,12.5,41.541666666666664,920.8333333333334,32.083333333333336,1.5208333333333333,1017.1208333333334,-2.8208333333333333,7.5,2.058333333333333,Spring,Unhealthy (Sensitive),2013
Aotizhongxin,2013-03-21,148.95833333333334,161.75,21.666666666666668,85.75,1454.0416666666667,11.875,3.5875,1004.9250000000001,-1.425,0.0,1.6500000000000001,Spring,Unhealthy,2013
Aotizhongxin,2013-03-22,90.41666666666667,144.58333333333334,26.041666666666668,70.375,979.125,33.916666666666664,6.304166666666667,1011.5583333333334,-4.5375000000000005,0.0,2.5500000000000003,Spring,Unhealthy,2013
